,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
841,"Geralds, Hubert",The Englewood Strangler,United,1994,1995,5,5,Otros,Estrangulamiento,Hombres
842,"Getreu, John",,United,1963,1974,3,4+,Violación,Asesinato,Hombres
843,"Gibbs, Janie Lou",,United,1966,1967,5,5,Otros,Veneno,Desconocidos
844,"Gibson, Mose",,United,1908,1920,3,7+,Otros,Asesinato,Desconocidos
845,"Gibson, William Clyde",,United,2002,2012,3,3+,Otros,Asesinato,Hombres
846,"Gifford, Bertha",,United,1900,1928,3,17,Otros,Veneno,Desconocidos
847,"Gilbert, Kristen",,United,1989,1996,4,4+,Otros,Asesinato,Personas_Vulnerables
849,"Gillis, Sean Vincent",,United,1994,2004,8,8,Violación,Asesinato,Hombres
850,"Gilyard, Lorenzo",The Kansas City Strangler,United,1977,1993,12,13,Otros,Estrangulamiento,Prostitutas
851,"Glatman, Harvey",The Glamour Girl Slayer,United,1957,1958,3,4,Otros,Asesinato,Personas_Vulnerables
852,"Glaze, Billy",,United,1986,1987,3,20+,Otros,Asesinato,Hombres
853,"Gleason, Robert Charles",,United,2007,2010,3,3+,Otros,Asesinato,Desconocidos
855,"Gohl, Billy",,United,1902,1910,2,100+,Otros,Asesinato,Desconocidos
856,"Gomez, Lloyd",The Phantom Hobo Killer,United,1950,1951,9,9,Otros,Asesinato,Hombres
857,"Gordon, Steven Dean",,United,2013,2014,4,5,Violación,Estrangulamiento,Prostitutas
858,"Gore, David Alan",The Killing Cousins,United,1981,1983,6,6,Otros,Asesinato,Hombres
861,"Goudeau, Mark",The Baseline Killer,United,2005,2006,9,9,Violación,Asesinato,Desconocidos
863,"Graham, Harrison",,United,1986,1987,7,7,Otros,Asesinato,Hombres
864,"Grant, Gary",,United,1969,1971,4,4,Otros,Asesinato,Menores
865,"Grant, Waldo",,United,1973,1976,4,4+,Otros,Asesinato,Hombres
