,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
1424,"Dantzler, Rodrick Shonte, 34[n 1]",,United,2011,Unknown,7,Unconfirmed,Otros,Asesinato,desconocidos
1425,"Jumper, Jim[n 1]",,United,1889,Unknown,6+,Unconfirmed,Otros,Asesinato,desconocidos
1426,"Igrić, Damir, 29",,United,2001,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1427,"Rodger, Elliot Oliver Robertson, 22",,United,2014,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1428,"Marcelino, Julian, 30",,United,1932,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1429,"Loughner, Jared Lee, 22",,United,2011,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1430,"Cruse, William Bryan, 59",,United,1987,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1431,Gully[n 1],,United,1910,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1432,"Young, Harry Lyman, 28 Young, Jennings M., 36",,United,1932,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1433,"Drake, Lynwood Crumpler, 43",,United,1992,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1434,"Vang, Chai Soua, 36",,United,2004,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1435,"Huff, Kyle Aaron, 28",,United,2006,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1436,"Zamora, Isaac Lee, 28",,United,2008,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1437,"Dalton, Jason Brian, 45",,United,2016,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1438,"Henry, DeWitt Charles, 26",,United,1977,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1439,"Belachheb, Abdelkrim, 39",,United,1984,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1440,"Peterson, Tyler James, 20[n 3]",,United,2007,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1441,"Thornton, Charles Lee, 52",,United,2008,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1442,"Crum, Richard Dale, 52 (accused)",,United,2023,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1444,"Goins, John M., 49[n 1]",,United,1926,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1445,"Swinney, Frank Everett, 28",,United,1970,Unknown,6,Unconfirmed,Otros,Asesinato,hombres
1446,"Benoist, Emile Pierre, 20",,United,1977,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1447,"Moreno, Eliseo Hernandez, 24[n 1]",,United,1983,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1448,"Stewart, Howard Franklin, 37[n 1]",,United,1987,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1449,"Leonard, Eric Royce, 22",,United,1991,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1450,"Vargas, Pedro Alberto, 42",,United,2013,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1451,"Jones, Dwight Lamon, 56",,United,2018,Unknown,6,Unconfirmed,Otros,Asesinato,desconocidos
1452,"Aldrich, Anderson Lee, 22 (accused)",,United,2022,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
1453,"Moore, Lawrence William, 25",,United,1981,Unknown,5,Unconfirmed,Otros,Asesinato,hombres
1454,"Harris, Will, 29",,United,1906,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
